tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,kota
2018-06-27,22,32.2,26.6,84,53.5,2.4,3,30,Serang
2018-06-28,22.6,31.2,26.7,85,0,6,3,20,Serang
2018-06-29,23.6,31.8,27.1,82,0,2.9,3,350,Serang
2018-06-30,,32.6,27.7,82,0,,3,320,Serang
2018-07-01,23.8,32.2,27.2,82,,6.2,3,10,Serang
2018-07-02,22.6,32.8,26.7,83,0,6,3,40,Serang
2018-07-03,22.8,32.2,27.2,81,0,7.2,4,20,Serang
2018-07-04,22.8,32.4,26.8,82,0,7.5,2,150,Serang
2018-07-05,23.4,31,25.9,88,0,5.2,2,300,Serang
2018-07-06,21.2,32.8,25.8,75,3,1.4,3,10,Serang
2018-07-07,19.6,33,25.8,74,0,7,3,20,Serang
2018-07-08,20.6,33.6,26.9,78,0,9.5,3,290,Serang
2018-07-09,22.4,33,27.7,80,0,8.9,3,10,Serang
2018-07-10,23.8,33.2,27.8,78,0,7.5,3,350,Serang
2018-07-11,23.2,32.4,26.8,79,,1.3,2,20,Serang
2018-07-12,22.8,32.6,27.3,79,0,6.8,3,10,Serang
2018-07-13,21.8,32.4,26.6,77,0,4.5,4,260,Serang
2018-07-14,21.8,32,25.8,81,0,4.8,3,330,Serang
2018-07-15,21,32.8,26.5,76,0,4.2,3,10,Serang
2018-07-16,21.8,32.6,26.8,74,0,9,3,90,Serang
2018-07-17,21.6,31.9,26.2,79,0,9.2,2,20,Serang
2018-07-18,22.2,33,26.3,78,,5.2,3,10,Serang
2018-07-19,21.4,32.6,26.7,79,,4.8,5,30,Serang
2018-07-20,21.8,33.2,28,79,0,9.1,4,10,Serang
2018-07-21,24.4,32.4,28,80,0,8,4,0,Serang
2018-07-22,24.2,33,27.7,80,,1.4,3,310,Serang
2018-07-23,23.8,33,27.4,82,0,6,3,320,Serang
2018-07-24,23.6,33.2,27.5,81,0,0,3,10,Serang
2018-07-25,23.2,32,27.5,78,0,7,4,30,Serang
2018-07-26,23,32.6,27.3,82,0,5.8,3,10,Serang
2018-07-27,23.8,33.6,27.4,77,,4.1,3,360,Serang
2018-07-28,21.6,32.6,26.3,78,0,6.9,4,310,Serang
2018-07-29,21.4,31.1,25.7,79,0,9.5,3,30,Serang
2018-07-30,20.6,32.6,26,75,0,,3,10,Serang
2018-07-31,21.4,33.6,26.4,77,0,8.2,3,30,Serang
2018-08-01,20.9,33.2,26.6,81,0,8.5,3,160,Serang
2018-08-02,22.4,33.8,27.6,74,,4.9,4,50,Serang
2018-08-03,21.8,32,26.4,76,0,9.2,4,340,Serang
2018-08-04,21.8,32.2,25.8,81,0,5.3,3,10,Serang
2018-08-05,21.6,32.8,26.1,74,,3,3,260,Serang
2018-08-06,19.8,32.6,25.5,71,0,6.9,4,10,Serang
2018-08-07,20.2,32.2,26.4,72,0,9,3,6,Serang
2018-08-08,22.4,31.8,26.9,75,0,4.8,3,340,Serang
2018-08-09,23.2,32,27.5,79,0,2.5,3,350,Serang
2018-08-10,24.4,33.2,27.7,77,,3.2,4,300,Serang
2018-08-11,23.4,33.4,27.4,79,0,6.2,4,30,Serang
